frame,detected,det_x,det_y,kf_x,kf_y,confidence
741,True,1109,406,1106,376,0.40075579285621643
742,True,1114,426,1109,388,0.1951429694890976
743,True,1116,438,1110,395,0.10278427600860596
744,True,1118,454,1111,404,0.5287296175956726
745,True,1119,474,1112,416,0.5985148549079895
746,True,1120,487,1113,423,0.2224401980638504
747,True,1121,506,1113,434,0.5872606635093689
748,True,1123,527,1114,446,0.3807462453842163
749,False,,,1119,474,0.0
750,False,,,1124,502,0.0
751,False,,,1128,529,0.0
752,True,1132,606,1130,576,0.14272364974021912
753,True,1133,632,1131,592,0.19322337210178375
754,True,1135,654,1132,605,0.5158909559249878
755,True,1137,678,1133,620,0.4724496304988861
756,True,1139,704,1135,636,0.11316391080617905
757,True,1142,728,1136,650,0.23147809505462646
758,True,1143,752,1137,665,0.2875780463218689
759,True,1145,772,1138,677,0.3723626434803009
760,False,,,1144,727,0.0
761,False,,,1151,777,0.0
762,False,,,1157,827,0.0
763,True,1147,793,1151,806,0.21788886189460754
764,False,,,1156,853,0.0
765,False,,,1161,900,0.0
766,False,,,1166,947,0.0
767,False,,,1172,994,0.0
768,False,,,1177,1041,0.0
769,False,,,1182,1088,0.0
770,False,,,1187,1135,0.0
771,True,1156,863,1162,915,0.5274732708930969
772,True,1157,873,1162,923,0.5296856164932251
773,True,1158,886,1163,934,0.7226822972297668
774,True,1159,898,1164,943,0.42830032110214233
775,True,1160,912,1165,955,0.7377829551696777
776,False,,,1168,981,0.0
777,False,,,1170,1008,0.0
778,False,,,1173,1035,0.0
779,False,,,1176,1062,0.0
780,False,,,1179,1089,0.0
781,True,1144,738,1153,829,0.4185776710510254
782,False,,,1152,826,0.0
783,True,1136,677,1144,753,0.4032552242279053
784,True,1134,650,1143,740,0.6319035887718201
785,True,1133,629,1143,729,0.20838789641857147
786,True,1130,602,1141,716,0.23673579096794128
787,True,1126,577,1139,704,0.19592665135860443
788,True,1123,557,1138,694,0.22026120126247406
789,True,1122,535,1137,684,0.4011252224445343
790,True,1122,520,1137,676,0.3843597173690796
791,True,1121,502,1137,667,0.6396749019622803
792,True,1119,484,1136,659,0.5535171031951904
793,True,1118,471,1135,652,0.10985997319221497
794,True,1116,454,1134,644,0.5783547759056091
795,False,,,1132,617,0.0
796,True,1113,428,1124,542,0.2581799030303955
797,True,1110,414,1123,536,0.3394680619239807
798,True,1110,403,1123,532,0.6014275550842285
799,True,1110,390,1123,527,0.4792514145374298
800,False,,,1119,486,0.0
801,False,,,1115,445,0.0
802,False,,,1111,404,0.0
803,False,,,1107,363,0.0
804,False,,,1103,323,0.0
805,False,,,1099,282,0.0
